Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,label,text,mention pair
"(5, 5)","(4, 5)","(3, 5)","(4, 5)","(5, 5)",0,"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .","('anyone', 'him')"
"(4, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",1,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Mr. Moncrieff', 'his')"
"(4, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",0,"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.","('lemon trees', 'they')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",0,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Larry', 'his')"
"(3, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",0,"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval","('Chester', 'his')"
"(5, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",1,The large ball crashed right through the table because it was made of styrofoam.,"('the table', 'it')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",1,"The path to the lake was blocked, so we couldn't use it .","('The path', 'it')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.","('Ellen', 'her')"
"(3, 5)","(4, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('their mothers', 'them')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,"('The customer', 'He')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,Jane gave Joan candy because she was hungry.,"('Jane', 'she')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",1,"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.","('lemons', 'they')"
"(5, 5)","(4, 4)","(5, 5)","(5, 5)","(3, 5)",0,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.","('Mama', 'her')"
"(4, 5)","(5, 5)","(4, 5)","(4, 5)","(4, 5)",1,"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.","('Antonio', 'his')"
"(3, 5)","(5, 5)","(3, 5)","(4, 5)","(4, 4)",0,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .","('chair', 'it')"
"(4, 5)","(5, 5)","(3, 5)","(5, 5)","(4, 4)",0,"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.","('Larry', 'his')"
"(3, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .","('living room', 'it')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",1,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Edward', 'he')"
"(4, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",0,Fred watched TV while George went out to buy groceries. After an hour he got back.,"('Fred', 'he')"
"(5, 5)","(5, 5)","(2, 5)","(5, 5)","(5, 5)",1,"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.","('Arthur and Celeste', 'them')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",1,"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval","('Chester', 'he')"
"(5, 5)","(4, 5)","(4, 5)","(4, 5)","(5, 5)",0,Jane gave Joan candy because she wasn't hungry.,"('Joan', 'she')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",0,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Dad', 'he')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",0,The large ball crashed right through the table because it was made of steel.,"('the table', 'it')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(4, 5)",0,"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.","(""Larry's father"", 'his')"
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",0,"Well satisfied with his purchases and feeling very elegant indeed, Babar goes to the photographer to have his picture taken.","('the photographer', 'his')"
"(5, 5)","(4, 5)","(5, 5)","(5, 5)","(5, 5)",1,"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.","('Dad', 'him')"
"(4, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Edward', 'his')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"The path to the lake was blocked, so we couldn't use it .","('the lake', 'it')"
"(5, 5)","(4, 5)","(2, 5)","(5, 5)","(5, 5)",1,"Everyone really loved the oatmeal cookies ; only a few people liked the chocolate chip cookies . Next time, we should make more of them .","('the oatmeal cookies', 'them')"
"(5, 5)","(5, 5)","(4, 5)","(4, 5)","(5, 5)",1,"The stable was very roomy, with four good stalls; a large swinging window opened into the yard , which made it pleasant and airy.","('stable', 'it')"
"(4, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.","('faces', 'they')"
"(4, 5)","(5, 5)","(5, 5)","(4, 5)","(5, 5)",0,"Joe Joe's uncle can still beat him at tennis, even though he is 30 years older.","('Joe', 'he')"
"(4, 5)","(3, 5)","(3, 5)","(5, 5)","(5, 5)",0,"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful","('Mark', 'his')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .","('faces', 'them')"
"(5, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",0,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Chester', 'he')"
"(5, 5)","(5, 5)","(3, 5)","(4, 5)","(5, 5)",1,"Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .","('things', 'them')"
"(5, 5)","(5, 5)","(4, 5)","(5, 5)","(5, 5)",1,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.","(""Amy's parents"", 'they')"
"(5, 5)","(5, 5)","(4, 5)","(3, 5)","(5, 5)",0,Men had the right to keep their sons working for them until they were 21 years of age.,"('Men', 'they')"
"(5, 5)","(5, 5)","(3, 5)","(5, 5)","(5, 5)",0,"The path to the lake was blocked, so we couldn't reach it .","('The path', 'it')"
"(4, 5)","(5, 5)","(5, 5)","(5, 5)","(3, 4)",0,"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.","('Mr. Moncrieff', 'he')"
"(5, 5)","(4, 5)","(4, 5)","(5, 5)","(5, 5)",1,Fred watched TV while George went out to buy groceries. After an hour he got up.,"('Fred', 'he')"
"(4, 5)","(4, 5)","(5, 5)","(5, 5)","(4, 5)",0,"When they had eventually calmed down a bit , and had gotten home, Mr. Farley put the magic pebble in an iron safe . Some day they might want to use it , but really for now, what more could they wish for?","('safe', 'it')"
